ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
460376,Female,No,29,Yes,Healthcare,3,Low,4,Cat_2,C
462611,Male,Yes,39,No,Executive,1,High,7,Cat_4,D
461792,Female,No,23,No,Healthcare,6,Low,5,Cat_2,D
466430,Female,Yes,51,No,Engineer,0,Low,4,Cat_6,A
466418,Male,Yes,85,No,Lawyer,0,Low,1,Cat_4,D
461034,Female,No,23,No,Marketing,2,Low,6,Cat_3,D
463593,Female,No,22,No,Doctor,1,Low,5,Cat_6,C
467091,Female,No,42,Yes,Entertainment,1,Low,3,Cat_6,D
464420,Female,Yes,60,Yes,Artist,8,High,2,Cat_6,C
466098,Male,Yes,78,Yes,Lawyer,1,High,2,Cat_6,A
465000,Male,Yes,50,Yes,Executive,1,High,3,Cat_6,C
462275,Male,Yes,42,Yes,Artist,1,Average,2,Cat_6,C
463448,Male,Yes,40,Yes,Artist,8,Average,2,Cat_6,B
463501,Male,Yes,52,Yes,Executive,0,High,2,Cat_6,C
460493,Male,No,42,Yes,Entertainment,2,Low,1,Cat_3,B
459139,Female,Yes,53,Yes,Artist,1,Average,2,Cat_4,C
461225,Female,No,32,No,Marketing,11,Low,6,Cat_6,D
463753,Female,No,30,Yes,Healthcare,0,Low,5,Cat_2,D
465149,Male,Yes,43,Yes,Entertainment,1,Average,3,Cat_6,B
459086,Female,No,28,No,Healthcare,1,Low,2,Cat_6,B
462007,Female,Yes,36,Yes,Artist,1,Average,2,Cat_6,C
460678,Female,No,31,No,Doctor,6,Low,2,Cat_3,A
464503,Male,No,25,Yes,Artist,9,Low,3,Cat_6,A
465279,Male,Yes,53,Yes,Healthcare,0,High,4,Cat_6,A
458986,Male,No,18,No,Healthcare,7,Low,4,Cat_6,D
464851,Male,No,18,No,Doctor,0,Low,6,Cat_4,D
465260,Female,No,22,No,Healthcare,8,Low,6,Cat_6,D
462979,Male,No,18,No,Doctor,1,Low,2,Cat_6,D
462635,Male,Yes,42,No,Engineer,5,Average,4,Cat_4,A
459967,Male,No,27,Yes,Entertainment,9,Low,3,Cat_6,B
464542,Female,No,26,Yes,Healthcare,10,Low,1,Cat_6,D
463655,Male,Yes,39,Yes,Artist,13,Low,2,Cat_6,B
466033,Female,Yes,40,Yes,Artist,0,Average,4,Cat_6,B
461221,Female,No,30,No,Marketing,1,Low,4,Cat_6,B
460671,Male,Yes,35,No,Entertainment,8,Average,4,Cat_3,B
467898,Female,Yes,68,Yes,Artist,0,Low,1,Cat_6,C
464709,Male,Yes,40,No,Executive,8,High,5,Cat_4,D
466064,Female,Yes,31,No,Entertainment,0,Average,2,Cat_3,A
465226,Male,Yes,37,No,Entertainment,2,Low,3,Cat_6,A
463612,Female,Yes,51,Yes,Engineer,1,High,3,Cat_6,C
466067,Male,Yes,69,Yes,Artist,0,Average,5,Cat_3,C
459780,Female,No,42,No,Entertainment,1,Low,3,Cat_6,A
460996,Female,No,60,Yes,Engineer,1,Low,1,Cat_6,A
459716,Female,Yes,66,Yes,Engineer,8,Average,2,Cat_6,C
463671,Male,Yes,37,Yes,Entertainment,0,Average,3,Cat_6,C
465796,Female,Yes,65,Yes,Artist,0,Average,4,Cat_4,C
466610,Male,No,19,No,Marketing,0,Low,5,Cat_6,A
467505,Male,Yes,43,Yes,Artist,0,Low,4,Cat_6,D
465541,Female,Yes,45,Yes,Artist,1,Average,4,Cat_7,C
462911,Male,Yes,32,Yes,Doctor,11,Average,2,Cat_6,A
463540,Male,Yes,56,Yes,Artist,8,Average,3,Cat_6,C
462782,Male,Yes,57,Yes,Executive,7,High,2,Cat_4,C
462320,Female,Yes,51,Yes,Artist,0,Average,2,Cat_2,C
464462,Female,Yes,70,Yes,Artist,5,High,2,Cat_6,C
463318,Male,Yes,65,Yes,Lawyer,0,Low,2,Cat_1,A
467741,Male,No,21,No,Healthcare,1,Low,3,Cat_4,D
464643,Female,Yes,79,No,Engineer,0,High,2,Cat_4,A
459869,Female,No,23,No,Healthcare,1,Low,3,Cat_6,D
464684,Female,No,40,No,Engineer,9,Low,5,Cat_4,A
463533,Female,Yes,87,Yes,Artist,1,High,2,Cat_2,C
465806,Female,No,26,Yes,Marketing,0,Low,2,Cat_3,A
461422,Male,Yes,52,Yes,Executive,1,Average,6,Cat_6,B
464382,Female,Yes,55,Yes,Artist,1,Average,4,Cat_6,C
461262,Female,No,27,No,Engineer,1,Low,7,Cat_4,A
460087,Female,Yes,56,Yes,Entertainment,0,Average,2,Cat_6,B
459991,Male,Yes,40,Yes,Artist,6,Low,1,Cat_6,A
464743,Male,Yes,45,Yes,Entertainment,0,Average,2,Cat_4,B
462970,Male,Yes,28,No,Doctor,0,Average,2,Cat_6,D
460540,Female,Yes,30,No,Artist,1,Average,2,Cat_3,D
463693,Male,Yes,35,Yes,Artist,9,High,3,Cat_6,C
466030,Female,Yes,36,No,Entertainment,8,Low,2,Cat_6,B
464889,Male,Yes,41,No,Executive,1,Low,7,Cat_4,D
467903,Male,Yes,39,Yes,Entertainment,9,Low,2,Cat_6,A
459944,Female,Yes,39,Yes,Artist,0,Low,1,Cat_6,A
460037,Female,No,42,Yes,Entertainment,5,Low,7,Cat_6,A
461056,Female,Yes,57,Yes,Artist,0,High,3,Cat_3,C
460277,Female,No,20,No,Entertainment,1,Low,5,Cat_2,B
467745,Male,Yes,50,Yes,Artist,3,Average,4,Cat_6,C
464958,Female,Yes,42,No,Engineer,1,Average,6,Cat_4,B
463337,Female,Yes,33,No,Entertainment,1,Low,2,Cat_3,A
466097,Female,Yes,74,No,Lawyer,1,Low,1,Cat_6,A
462095,Male,Yes,49,Yes,Entertainment,1,Average,3,Cat_1,A
466091,Female,Yes,46,Yes,Artist,1,Low,4,Cat_4,B
465993,Female,No,27,No,Engineer,0,Low,2,Cat_6,D
461543,Male,No,31,No,Artist,3,Low,2,Cat_6,A
466062,Male,Yes,56,Yes,Artist,4,Low,3,Cat_3,B
462437,Male,No,18,No,Healthcare,0,Low,6,Cat_6,D
459533,Female,No,41,Yes,Artist,1,Low,1,Cat_6,A
464901,Male,Yes,82,No,Executive,1,High,4,Cat_4,A
462964,Male,Yes,39,No,Artist,7,Average,3,Cat_6,C
459467,Female,Yes,56,Yes,Artist,0,Average,2,Cat_6,C
463397,Female,No,20,No,Healthcare,4,Low,3,Cat_4,D
461721,Male,No,26,Yes,Entertainment,7,Low,5,Cat_5,D
463364,Female,Yes,71,No,Lawyer,1,High,2,Cat_6,B
464029,Male,No,18,No,Entertainment,1,Low,4,Cat_6,D
459204,Female,Yes,35,Yes,Engineer,0,Average,2,Cat_6,B
462175,Female,No,36,Yes,Homemaker,9,Low,1,Cat_2,A
462251,Male,Yes,61,No,Artist,0,Average,2,Cat_6,C
460080,Female,No,39,Yes,Doctor,9,Low,3,Cat_6,A
462681,Female,Yes,59,Yes,Entertainment,7,Average,2,Cat_6,B
462475,Male,Yes,35,Yes,Artist,0,Average,2,Cat_6,B
463737,Male,No,28,Yes,Healthcare,7,Low,4,Cat_2,C
459781,Male,No,47,No,Entertainment,1,Low,1,Cat_6,A
459868,Female,Yes,46,Yes,Engineer,1,Average,2,Cat_6,C
464746,Male,Yes,32,No,Executive,4,Average,5,Cat_4,D
460497,Male,Yes,35,Yes,Entertainment,6,Low,5,Cat_3,D
466104,Male,Yes,81,Yes,Lawyer,1,Low,1,Cat_6,B
467060,Male,No,39,No,Engineer,5,Low,2,Cat_6,D
462385,Male,No,23,No,Doctor,4,Low,3,Cat_6,C
464531,Male,Yes,38,No,Engineer,0,High,6,Cat_4,A
465023,Male,Yes,43,Yes,Artist,9,Average,2,Cat_2,C
467406,Male,No,37,Yes,Entertainment,9,Low,1,Cat_6,D
461288,Male,No,26,Yes,Doctor,1,Low,4,Cat_6,C
463879,Male,Yes,45,Yes,Executive,0,High,2,Cat_6,C
464075,Female,Yes,86,Yes,Lawyer,0,High,2,Cat_6,B
466256,Female,Yes,65,Yes,Engineer,1,Low,1,Cat_6,B
461488,Male,Yes,53,Yes,Artist,6,Average,2,Cat_6,C
464254,Male,Yes,63,Yes,Entertainment,0,Average,3,Cat_6,C
460020,Male,Yes,53,Yes,Artist,1,Average,3,Cat_6,C
463090,Female,Yes,55,No,Engineer,3,Average,2,Cat_6,B
464950,Male,No,21,No,Healthcare,1,Low,4,Cat_4,D
460989,Male,No,23,No,Healthcare,1,Low,3,Cat_1,D
462601,Female,Yes,67,No,Lawyer,1,High,4,Cat_4,D
464593,Female,No,35,Yes,Doctor,1,Low,4,Cat_2,B
462400,Male,No,47,Yes,Artist,0,Low,1,Cat_6,B
462746,Male,No,29,No,Entertainment,1,Low,3,Cat_6,B
459954,Male,Yes,27,Yes,Healthcare,8,Low,2,Cat_6,D
462119,Male,Yes,71,Yes,Entertainment,0,Low,2,Cat_6,A
462674,Female,Yes,51,Yes,Homemaker,12,Average,4,Cat_3,B
464190,Male,No,37,Yes,Executive,3,Low,1,Cat_6,D
461980,Male,Yes,52,Yes,Artist,2,Low,3,Cat_3,A
467886,Female,Yes,46,Yes,Artist,0,Low,2,Cat_6,C
465175,Female,No,22,No,Homemaker,0,Low,4,Cat_6,D
467573,Male,Yes,45,Yes,Artist,6,Average,4,Cat_6,B
464568,Male,Yes,36,Yes,Artist,8,Average,2,Cat_6,B
465403,Female,No,27,No,Healthcare,9,Low,5,Cat_7,A
461613,Female,No,25,Yes,Healthcare,8,Low,4,Cat_5,C
459865,Male,Yes,47,Yes,Artist,0,Average,3,Cat_6,C
459048,Female,No,18,No,Healthcare,0,Low,5,Cat_6,D
462164,Female,Yes,62,Yes,Artist,9,Low,1,Cat_6,B
465216,Male,Yes,35,Yes,Executive,8,High,4,Cat_6,C
466254,Male,No,40,Yes,Entertainment,0,Low,2,Cat_2,A
462258,Male,No,25,No,Doctor,1,Low,4,Cat_6,D
463516,Male,Yes,47,No,Executive,1,High,6,Cat_6,C
466963,Male,No,63,No,Entertainment,7,Low,1,Cat_6,A
459247,Male,Yes,60,Yes,Executive,0,Average,5,Cat_6,C
467683,Male,Yes,26,Yes,Healthcare,9,High,3,Cat_2,D
464660,Male,No,29,Yes,Entertainment,0,Low,5,Cat_4,C
462252,Male,No,47,Yes,Entertainment,4,Low,1,Cat_6,A
464205,Female,Yes,82,No,Entertainment,0,High,2,Cat_6,B
467563,Male,Yes,39,Yes,Artist,0,Average,2,Cat_2,C
467582,Male,Yes,39,Yes,Executive,0,High,3,Cat_2,B
462201,Female,No,32,Yes,Healthcare,0,Low,1,Cat_4,D
462859,Male,Yes,49,Yes,Entertainment,1,Average,2,Cat_6,A
460062,Male,No,29,Yes,Artist,4,Low,1,Cat_3,D
461544,Male,Yes,82,No,Lawyer,1,High,2,Cat_6,A
464258,Female,Yes,88,No,Lawyer,0,High,2,Cat_6,B
464487,Male,No,53,No,Engineer,1,Low,3,Cat_4,A
463117,Female,No,26,No,Engineer,0,Low,3,Cat_6,D
467643,Male,No,42,Yes,Artist,12,Low,1,Cat_3,A
463038,Male,Yes,63,Yes,Executive,0,High,5,Cat_6,D
465963,Male,Yes,46,Yes,Artist,0,Low,2,Cat_6,B
462687,Male,No,29,No,Homemaker,11,Low,3,Cat_3,D
464106,Male,Yes,55,Yes,Entertainment,1,Low,2,Cat_6,A
467492,Female,Yes,57,Yes,Doctor,1,Low,2,Cat_7,A
465440,Male,Yes,62,No,Engineer,1,Low,5,Cat_6,D
466627,Male,No,25,No,Healthcare,0,Low,5,Cat_6,C
466453,Male,Yes,41,Yes,Entertainment,2,Average,2,Cat_6,A
461753,Female,No,35,Yes,Artist,0,Low,1,Cat_6,B
466532,Female,No,19,No,Engineer,1,Low,4,Cat_6,D
464271,Female,Yes,36,Yes,Artist,0,Average,3,Cat_2,C
464129,Male,Yes,52,Yes,Executive,1,High,4,Cat_1,C
459661,Male,Yes,62,Yes,Executive,0,High,3,Cat_6,C
464524,Female,Yes,27,No,Marketing,1,Low,2,Cat_6,A
466335,Female,No,28,No,Healthcare,0,Low,3,Cat_4,B
461760,Male,Yes,82,Yes,Artist,0,High,2,Cat_6,C
460465,Male,No,36,No,Executive,0,Low,3,Cat_6,D
464687,Male,Yes,36,Yes,Artist,9,Average,5,Cat_4,D
461364,Female,No,46,No,Doctor,0,Low,2,Cat_6,B
460496,Male,No,19,No,Healthcare,7,Low,5,Cat_3,D
466525,Male,Yes,33,Yes,Artist,0,Average,2,Cat_6,B
460355,Female,No,40,Yes,Entertainment,5,Low,1,Cat_3,A
467454,Male,Yes,49,Yes,Artist,1,Low,1,Cat_6,A
461278,Male,No,23,No,Healthcare,1,Low,4,Cat_6,D
467692,Female,Yes,43,No,Artist,4,Low,1,Cat_6,B
462962,Female,Yes,37,Yes,Artist,4,Low,1,Cat_3,A
463837,Female,Yes,50,No,Engineer,0,Low,3,Cat_7,B
463761,Male,Yes,33,Yes,Artist,1,Average,3,Cat_6,A
464625,Female,No,48,Yes,Artist,0,Low,2,Cat_6,B
459188,Male,No,27,No,Healthcare,1,Low,3,Cat_6,C
464493,Female,Yes,66,Yes,Lawyer,6,Average,4,Cat_5,B
463556,Male,Yes,29,Yes,Entertainment,0,Low,2,Cat_2,D
461502,Female,No,37,Yes,Artist,9,Low,1,Cat_6,B
460789,Male,Yes,36,Yes,Executive,1,Low,3,Cat_6,D
461650,Female,Yes,42,Yes,Doctor,0,Low,1,Cat_4,B
459041,Male,Yes,62,Yes,Artist,8,Low,1,Cat_6,D
466542,Female,Yes,73,Yes,Lawyer,1,High,2,Cat_6,B
463877,Male,Yes,42,No,Entertainment,0,Average,4,Cat_4,A
460767,Male,Yes,57,Yes,Entertainment,8,Average,5,Cat_2,A
463310,Male,Yes,60,Yes,Entertainment,0,Low,2,Cat_3,A
463348,Female,Yes,40,Yes,Doctor,1,Low,2,Cat_6,A
463629,Male,No,41,Yes,Artist,1,Low,1,Cat_6,B
461532,Male,Yes,48,Yes,Entertainment,1,Low,1,Cat_6,A
462996,Female,Yes,49,Yes,Homemaker,9,Average,3,Cat_6,C
463300,Male,Yes,47,No,Entertainment,1,Low,2,Cat_6,A
463901,Male,Yes,35,No,Artist,0,Low,6,Cat_4,C
462440,Female,No,23,No,Healthcare,9,Low,4,Cat_6,D
463321,Male,No,22,No,Healthcare,1,Low,3,Cat_1,D
463698,Female,Yes,53,No,Engineer,0,Average,2,Cat_6,B
463414,Male,Yes,25,No,Executive,0,High,3,Cat_1,A
459894,Female,Yes,35,Yes,Healthcare,1,Low,3,Cat_6,C
466534,Male,No,28,No,Healthcare,0,Low,9,Cat_6,D
464945,Female,Yes,40,Yes,Artist,1,Average,2,Cat_4,A
463314,Female,No,27,No,Healthcare,0,Low,4,Cat_3,A
465632,Male,No,37,Yes,Artist,4,Low,7,Cat_7,A
464558,Male,No,30,Yes,Healthcare,9,Low,5,Cat_6,D
461609,Female,Yes,45,Yes,Artist,5,Average,2,Cat_6,B
467901,Female,No,33,Yes,Entertainment,1,Low,4,Cat_6,B
460141,Male,No,35,Yes,Artist,13,Low,1,Cat_6,B
463075,Male,Yes,52,Yes,Artist,0,Low,4,Cat_6,C
467142,Male,Yes,40,Yes,Executive,0,Low,4,Cat_6,B
464151,Male,No,40,Yes,Doctor,12,Low,1,Cat_2,D
467522,Female,No,19,No,Healthcare,0,Low,2,Cat_6,D
461762,Female,Yes,63,Yes,Artist,0,High,2,Cat_6,C
461611,Female,Yes,38,Yes,Artist,5,Average,2,Cat_6,C
465411,Female,Yes,38,Yes,Engineer,0,Low,1,Cat_5,D
467586,Male,Yes,35,Yes,Artist,3,Average,3,Cat_6,B
464313,Male,Yes,30,No,Homemaker,1,Average,3,Cat_6,D
466434,Male,Yes,53,Yes,Artist,0,Average,4,Cat_6,B
460001,Male,Yes,41,Yes,Artist,4,Average,2,Cat_2,A
465050,Male,Yes,74,Yes,Lawyer,1,High,2,Cat_6,B
464696,Female,No,37,Yes,Engineer,0,Low,1,Cat_4,A
466663,Male,No,57,Yes,Doctor,0,Low,1,Cat_3,A
463758,Male,No,33,No,Healthcare,9,Low,3,Cat_7,C
462931,Male,Yes,40,No,Entertainment,14,Average,3,Cat_6,D
463179,Male,Yes,57,Yes,Entertainment,0,Low,2,Cat_6,A
462615,Male,No,31,No,Doctor,4,Low,7,Cat_4,D
462937,Female,Yes,61,Yes,Artist,1,Low,2,Cat_6,C
460978,Female,No,35,Yes,Healthcare,3,Low,6,Cat_2,D
467857,Female,Yes,28,Yes,Engineer,0,Low,2,Cat_6,A
465158,Male,No,45,Yes,Artist,1,Low,1,Cat_6,A
461273,Male,Yes,73,Yes,Entertainment,1,High,4,Cat_6,B
463977,Male,Yes,28,Yes,Healthcare,9,High,2,Cat_6,B
466675,Female,Yes,49,Yes,Artist,2,Average,2,Cat_6,C
463863,Male,Yes,35,Yes,Artist,0,Average,2,Cat_6,C
462562,Female,No,25,Yes,Entertainment,0,Low,6,Cat_2,C
466799,Female,No,19,No,Healthcare,2,Low,3,Cat_6,D
463020,Male,Yes,31,Yes,Artist,0,Average,3,Cat_1,D
460165,Female,No,40,Yes,Entertainment,0,Low,1,Cat_3,A
459411,Male,Yes,74,No,Lawyer,8,Low,1,Cat_6,A
459386,Male,Yes,70,No,Lawyer,0,High,2,Cat_6,B
466918,Male,Yes,56,Yes,Artist,1,Average,1,Cat_6,C
461293,Male,No,22,No,Healthcare,0,Low,4,Cat_6,D
462179,Female,No,31,Yes,Marketing,0,Low,9,Cat_7,D
466810,Male,No,19,No,Healthcare,1,Low,3,Cat_6,D
461595,Female,No,32,Yes,Healthcare,0,Low,3,Cat_4,A
462698,Female,Yes,56,Yes,Entertainment,1,Average,2,Cat_6,A
465838,Female,Yes,52,No,Doctor,3,Average,2,Cat_6,A
466413,Male,Yes,62,Yes,Artist,1,Average,5,Cat_6,A
460368,Male,No,28,Yes,Healthcare,0,Low,7,Cat_6,C
467738,Male,Yes,43,Yes,Doctor,3,Average,2,Cat_6,B
460140,Female,Yes,36,Yes,Artist,5,Low,2,Cat_6,B
463465,Male,Yes,43,Yes,Artist,6,Average,3,Cat_6,B
460306,Female,No,39,Yes,Healthcare,9,Low,1,Cat_6,D
460907,Male,Yes,82,No,Lawyer,1,High,3,Cat_6,A
467301,Female,Yes,73,No,Lawyer,1,Low,2,Cat_6,B
467531,Male,Yes,75,Yes,Lawyer,2,Low,1,Cat_6,D
461136,Male,No,59,Yes,Artist,1,Low,1,Cat_6,B
464515,Male,No,27,No,Healthcare,0,Low,4,Cat_6,D
461840,Male,Yes,47,Yes,Executive,8,High,4,Cat_6,C
463334,Female,No,33,Yes,Doctor,0,Low,6,Cat_4,C
459181,Male,Yes,58,No,Artist,0,High,3,Cat_6,D
459923,Male,No,31,Yes,Marketing,0,Low,2,Cat_3,D
459333,Male,No,29,Yes,Healthcare,1,Low,2,Cat_6,D
466719,Male,Yes,68,No,Executive,1,High,2,Cat_6,A
459833,Male,Yes,70,Yes,Executive,1,High,2,Cat_6,C
460676,Female,Yes,51,Yes,Marketing,9,Average,1,Cat_3,A
459352,Male,Yes,38,Yes,Doctor,4,Average,4,Cat_3,B
467746,Male,Yes,50,Yes,Executive,0,High,3,Cat_6,B
459528,Female,Yes,52,Yes,Doctor,0,Average,2,Cat_6,C
461671,Male,No,32,No,Healthcare,7,Low,5,Cat_6,D
466035,Female,Yes,86,Yes,Lawyer,1,Low,2,Cat_6,B
462998,Male,Yes,45,No,Entertainment,10,Average,4,Cat_6,B
459322,Male,No,36,Yes,Marketing,0,Low,1,Cat_6,A
463103,Male,Yes,45,No,Executive,1,Average,4,Cat_6,B
467297,Female,Yes,53,Yes,Artist,1,Average,3,Cat_6,C
460927,Male,Yes,38,Yes,Healthcare,1,High,4,Cat_3,D
465847,Female,No,40,Yes,Lawyer,1,Low,1,Cat_6,A
462081,Male,No,22,No,Marketing,0,Low,3,Cat_4,D
465679,Male,Yes,47,Yes,Healthcare,1,Low,2,Cat_4,D
462468,Female,No,30,Yes,Healthcare,2,Low,5,Cat_6,D
462474,Female,Yes,25,No,Engineer,1,Average,2,Cat_4,A
460874,Female,No,18,No,Healthcare,1,Low,3,Cat_6,D
461899,Female,No,20,No,Doctor,1,Low,6,Cat_6,D
466371,Male,No,19,No,Healthcare,1,Low,4,Cat_2,D
459629,Female,Yes,47,Yes,Entertainment,3,Average,2,Cat_6,B
463346,Male,Yes,40,Yes,Healthcare,1,Low,3,Cat_6,D
467635,Female,No,41,Yes,Artist,9,Low,1,Cat_6,B
461909,Female,No,30,No,Marketing,0,Low,4,Cat_6,D
461102,Male,Yes,43,No,Entertainment,0,Average,3,Cat_3,A
465649,Female,Yes,43,Yes,Marketing,6,Low,1,Cat_6,A
459201,Female,Yes,66,Yes,Artist,0,Average,2,Cat_6,C
464042,Female,Yes,42,Yes,Artist,9,Low,2,Cat_6,B
464130,Male,No,41,Yes,Artist,1,Low,3,Cat_6,A
467136,Male,Yes,41,No,Entertainment,0,Average,4,Cat_4,A
460053,Male,Yes,55,Yes,Artist,9,Average,2,Cat_1,C
459165,Male,No,27,No,Doctor,7,Low,3,Cat_6,C
461598,Female,No,27,Yes,Artist,8,Low,1,Cat_6,A
462191,Female,No,22,No,Doctor,3,Low,2,Cat_4,B
462841,Male,No,19,No,Healthcare,8,Low,6,Cat_6,D
465258,Male,No,20,No,Healthcare,5,Low,4,Cat_3,D
460699,Male,No,28,Yes,Artist,9,Low,1,Cat_6,A
462150,Male,Yes,35,Yes,Artist,7,Low,2,Cat_6,C
465647,Male,No,31,Yes,Artist,9,Low,1,Cat_6,A
462434,Male,Yes,57,Yes,Artist,0,Average,4,Cat_6,C
462883,Female,Yes,28,Yes,Artist,8,Low,4,Cat_6,A
465518,Female,Yes,43,Yes,Artist,1,Average,3,Cat_4,B
459002,Female,Yes,45,No,Engineer,2,Low,2,Cat_6,D
466052,Female,Yes,37,Yes,Homemaker,5,Low,2,Cat_4,D
